Point,Corner,L_Mn_drive,L_Mn_tail1,L_Mp_stg1,nf_ibias,nf_Mn_drive,nf_Mn_tail1,nf_Mn_tail2,nf_Mp_stg2,Pass/Fail,Noise_10M,Noise_1M,Noise_DC,Phase Margin,Phase Margin Frequency,3dB Bandwidth,UGB,DC_Power,DC_Gain,Region_Drive_1,Region_Drive_2,Region_Mn_tail1,Region_Mn_tail2,Region_Mp_stg1_1,Region_Mp_stg1_2,Region_Mp_stg2,Region_Mp_Rz,Region_Mn2,Region_Mp3,Region_Mp4,Region_Mn_ibias,Slew Rate Value
39,nom,200e-9,1.6e-6,300e-9,1,16,19.2,115.2,390,pass,5.732e-9,9.241e-9,24.27e-6,62.96,264.9e6,4.689e6,267.3e6,1.861e-3,48.83,2,2,2,2,2,2,2,1,2,2,2,2,264e6
40,nom,200e-9,1.6e-6,350e-9,1,16,19.2,115.2,454,pass,5.808e-9,9.215e-9,21.95e-6,56.58,237.3e6,4.205e6,239.3e6,1.861e-3,49.23,2,2,2,2,2,2,2,1,2,2,2,2,236.9e6
41,nom,200e-9,1.6e-6,400e-9,1,16,19.2,115.2,520,pass,5.875e-9,9.209e-9,20.43e-6,50.34,216.5e6,3.778e6,218.8e6,1.861e-3,49.59,2,2,2,2,2,2,2,1,2,2,2,2,219.9e6
42,nom,200e-9,1.6e-6,450e-9,1,16,19.2,115.2,585,pass,5.938e-9,9.215e-9,19.37e-6,45.64,192.5e6,3.433e6,193.6e6,1.861e-3,49.9,2,2,2,2,2,2,2,1,2,2,2,2,203.2e6
43,nom,200e-9,1.7e-6,200e-9,1,16,20.4,122.4,260,pass,5.461e-9,9.443e-9,33.74e-6,77.15,322.3e6,6.251e6,323.7e6,1.964e-3,47.56,2,2,2,2,2,2,2,1,2,2,2,2,311.2e6
44,nom,200e-9,1.7e-6,250e-9,1,16,20.4,122.4,325,pass,5.538e-9,9.268e-9,27.93e-6,69.65,297.4e6,5.526e6,300.3e6,1.964e-3,48.23,2,2,2,2,2,2,2,1,2,2,2,2,292e6
45,nom,200e-9,1.7e-6,300e-9,1,16,20.4,122.4,390,pass,5.617e-9,9.194e-9,24.34e-6,62.68,270.6e6,4.894e6,273.6e6,1.964e-3,48.73,2,2,2,2,2,2,2,1,2,2,2,2,268.5e6
46,nom,200e-9,1.7e-6,350e-9,1,16,20.4,122.4,454,pass,5.688e-9,9.166e-9,22.03e-6,56.26,247.9e6,4.399e6,248.5e6,1.964e-3,49.13,2,2,2,2,2,2,2,1,2,2,2,2,251.8e6
47,nom,200e-9,1.7e-6,400e-9,1,16,20.4,122.4,520,pass,5.75e-9,9.158e-9,20.5e-6,50.45,223.1e6,3.942e6,225.7e6,1.964e-3,49.49,2,2,2,2,2,2,2,1,2,2,2,2,240.8e6
48,nom,200e-9,1.7e-6,450e-9,1,16,20.4,122.4,585,pass,5.807e-9,9.161e-9,19.44e-6,45.68,198.9e6,3.597e6,199e6,1.964e-3,49.81,2,2,2,2,2,2,2,1,2,2,2,2,219.6e6
49,nom,200e-9,1.8e-6,200e-9,1,16,21.6,129.6,260,pass,5.356e-9,9.407e-9,33.84e-6,77.4,337.5e6,6.566e6,341.4e6,2.07e-3,47.44,2,2,2,2,2,2,2,1,2,2,2,2,327.7e6
50,nom,200e-9,1.8e-6,250e-9,1,16,21.6,129.6,325,pass,5.427e-9,9.228e-9,28.03e-6,69.68,311.5e6,5.786e6,312.4e6,2.07e-3,48.12,2,2,2,2,2,2,2,1,2,2,2,2,305.9e6
51,nom,200e-9,1.8e-6,300e-9,1,16,21.6,129.6,390,pass,5.5e-9,9.15e-9,24.43e-6,62.5,283.2e6,5.123e6,286.7e6,2.07e-3,48.62,2,2,2,2,2,2,2,1,2,2,2,2,286.5e6
52,nom,200e-9,1.8e-6,350e-9,1,16,21.6,129.6,454,pass,5.567e-9,9.118e-9,22.11e-6,55.78,259.7e6,4.606e6,261.3e6,2.07e-3,49.03,2,2,2,2,2,2,2,1,2,2,2,2,272.8e6
53,nom,200e-9,1.8e-6,400e-9,1,16,21.6,129.6,520,pass,5.623e-9,9.108e-9,20.58e-6,49.77,233.3e6,4.139e6,235.5e6,2.07e-3,49.39,2,2,2,2,2,2,2,1,2,2,2,2,247.5e6
54,nom,200e-9,1.8e-6,450e-9,1,16,21.6,129.6,585,near,5.676e-9,9.109e-9,19.51e-6,44.93,207.6e6,3.764e6,209.1e6,2.07e-3,49.71,2,2,2,2,2,2,2,1,2,2,2,2,226.8e6
55,nom,200e-9,1.9e-6,200e-9,1,16,22.8,136.8,260,near,5.274e-9,9.381e-9,33.92e-6,75.42,339e6,6.866e6,342.9e6,2.171e-3,47.34,2,2,2,2,2,2,2,1,1,2,2,2,344.8e6
56,nom,200e-9,1.9e-6,250e-9,1,16,22.8,136.8,325,near,5.34e-9,9.198e-9,28.11e-6,68.71,314.4e6,6.019e6,314.8e6,2.171e-3,48.02,2,2,2,2,2,2,2,1,1,2,2,2,326.3e6
57,nom,200e-9,1.9e-6,300e-9,1,16,22.8,136.8,390,pass,5.41e-9,9.118e-9,24.5e-6,62.39,294.2e6,5.334e6,297.2e6,2.171e-3,48.53,2,2,2,2,2,2,2,1,2,2,2,2,308.8e6
58,nom,200e-9,1.9e-6,350e-9,1,16,22.8,136.8,454,pass,5.472e-9,9.084e-9,22.18e-6,55.96,264.2e6,4.789e6,266.5e6,2.171e-3,48.94,2,2,2,2,2,2,2,1,2,2,2,2,278.2e6
59,nom,200e-9,1.9e-6,400e-9,1,16,22.8,136.8,520,pass,5.525e-9,9.072e-9,20.65e-6,50.06,238.6e6,4.322e6,240.4e6,2.171e-3,49.3,2,2,2,2,2,2,2,1,2,2,2,2,259.3e6
60,nom,200e-9,1.9e-6,450e-9,1,16,22.8,136.8,585,pass,5.574e-9,9.071e-9,19.57e-6,45.15,213.1e6,3.91e6,215.2e6,2.171e-3,49.62,2,2,2,2,2,2,2,1,2,2,2,2,236.6e6
61,nom,200e-9,2e-6,200e-9,2,16,24,144,260,near,6.737e-9,10.04e-9,33.05e-6,75.17,212.3e6,3.913e6,214.6e6,1.129e-3,48.66,3,3,2,2,2,2,2,1,2,2,2,2,182.4e6
62,nom,200e-9,2e-6,250e-9,2,16,24,144,325,near,6.879e-9,9.927e-9,27.25e-6,69.09,197.6e6,3.474e6,198e6,1.129e-3,49.29,3,3,2,2,2,2,2,1,2,2,2,2,173e6
63,nom,200e-9,2e-6,300e-9,2,16,24,144,390,near,7.016e-9,9.899e-9,23.69e-6,63.1,183.3e6,3.08e6,185.3e6,1.129e-3,49.75,3,3,2,2,2,2,2,1,2,2,2,2,162.1e6
64,nom,200e-9,2e-6,350e-9,2,16,24,144,454,near,7.14e-9,9.906e-9,21.39e-6,56.91,167.5e6,2.765e6,169.1e6,1.129e-3,50.13,3,3,2,2,2,2,2,1,2,2,2,2,144.4e6
65,nom,200e-9,2e-6,400e-9,2,16,24,144,520,near,7.245e-9,9.927e-9,19.88e-6,51.34,150.9e6,2.468e6,152e6,1.129e-3,50.47,3,3,2,2,2,2,2,1,2,2,2,2,143.3e6
66,nom,200e-9,2e-6,450e-9,2,16,24,144,585,near,7.341e-9,9.956e-9,18.82e-6,46.36,135.8e6,2.235e6,137.3e6,1.129e-3,50.76,3,3,2,2,2,2,2,1,2,2,2,2,131.9e6
67,nom,200e-9,2.1e-6,200e-9,2,16,25.2,151.2,260,near,6.614e-9,9.975e-9,33.1e-6,75.3,220e6,4.06e6,222.9e6,1.18e-3,48.6,2,3,2,2,2,2,2,1,2,2,2,2,190.3e6
68,nom,200e-9,2.1e-6,250e-9,2,16,25.2,151.2,325,near,6.75e-9,9.854e-9,27.29e-6,69.14,205e6,3.603e6,206.2e6,1.18e-3,49.23,2,3,2,2,2,2,2,1,2,2,2,2,177.4e6
69,nom,200e-9,2.1e-6,300e-9,2,16,25.2,151.2,390,near,6.881e-9,9.821e-9,23.73e-6,62.74,188.1e6,3.19e6,189.9e6,1.18e-3,49.7,2,3,2,2,2,2,2,1,2,2,2,2,170e6
70,nom,200e-9,2.1e-6,350e-9,2,16,25.2,151.2,454,pass,6.999e-9,9.825e-9,21.44e-6,56.73,172.3e6,2.868e6,174.3e6,1.18e-3,50.08,2,2,2,2,2,2,2,1,2,2,2,2,150.7e6
71,nom,200e-9,2.1e-6,400e-9,2,16,25.2,151.2,520,pass,7.098e-9,9.844e-9,19.92e-6,51.2,155.5e6,2.559e6,156e6,1.18e-3,50.42,2,2,2,2,2,2,2,1,2,2,2,2,150.8e6
72,nom,200e-9,2.1e-6,450e-9,2,16,25.2,151.2,585,near,7.187e-9,9.869e-9,18.86e-6,46.18,140.1e6,2.317e6,141.8e6,1.18e-3,50.72,3,2,2,2,2,2,2,1,2,2,2,2,137e6
73,nom,200e-9,2.2e-6,200e-9,2,16,26.4,158.4,260,pass,6.5e-9,9.914e-9,33.14e-6,75.47,227.7e6,4.218e6,230.6e6,1.231e-3,48.54,2,2,2,2,2,2,2,1,2,2,2,2,197e6
74,nom,200e-9,2.2e-6,250e-9,2,16,26.4,158.4,325,pass,6.63e-9,9.787e-9,27.34e-6,69.2,212.4e6,3.727e6,214.6e6,1.231e-3,49.17,2,2,2,2,2,2,2,1,2,2,2,2,185.9e6
75,nom,200e-9,2.2e-6,300e-9,2,16,26.4,158.4,390,pass,6.755e-9,9.75e-9,23.77e-6,62.68,195e6,3.312e6,195.8e6,1.23e-3,49.64,2,2,2,2,2,2,2,1,2,2,2,2,169.1e6
76,nom,200e-9,2.2e-6,350e-9,2,16,26.4,158.4,454,pass,6.867e-9,9.751e-9,21.48e-6,56.49,178.7e6,2.965e6,180.8e6,1.23e-3,50.03,2,2,2,2,2,2,2,1,2,2,2,2,157.7e6
77,nom,200e-9,2.2e-6,400e-9,2,16,26.4,158.4,520,pass,6.961e-9,9.767e-9,19.97e-6,50.82,161.2e6,2.656e6,161.7e6,1.23e-3,50.37,2,2,2,2,2,2,2,1,2,2,2,2,155.9e6
78,nom,200e-9,2.2e-6,450e-9,2,16,26.4,158.4,585,pass,7.046e-9,9.791e-9,18.91e-6,46.04,144.3e6,2.396e6,145.9e6,1.23e-3,50.67,2,2,2,2,2,2,2,1,2,2,2,2,140.4e6
79,nom,200e-9,2.3e-6,200e-9,2,16,27.6,165.6,260,pass,6.375e-9,9.849e-9,33.19e-6,75.57,236.6e6,4.394e6,238.8e6,1.283e-3,48.48,2,2,2,2,2,2,2,1,2,2,2,2,207.8e6
80,nom,200e-9,2.3e-6,250e-9,2,16,27.6,165.6,325,pass,6.499e-9,9.717e-9,27.39e-6,68.4,217.9e6,3.872e6,220.6e6,1.283e-3,49.11,2,2,2,2,2,2,2,1,2,2,2,2,193.9e6
81,nom,200e-9,2.3e-6,300e-9,2,16,27.6,165.6,390,pass,6.619e-9,9.675e-9,23.82e-6,62.5,202.8e6,3.449e6,203.5e6,1.283e-3,49.58,2,2,2,2,2,2,2,1,2,2,2,2,187.9e6
82,nom,200e-9,2.3e-6,350e-9,2,16,27.6,165.6,454,pass,6.726e-9,9.673e-9,21.53e-6,56.25,183.8e6,3.076e6,185.8e6,1.283e-3,49.97,2,2,2,2,2,2,2,1,2,2,2,2,174.7e6
83,nom,200e-9,2.3e-6,400e-9,2,16,27.6,165.6,520,pass,6.814e-9,9.685e-9,20.02e-6,50.62,166.2e6,2.768e6,167.5e6,1.283e-3,50.31,2,2,2,2,2,2,2,1,2,2,2,2,156.8e6
84,nom,200e-9,2.3e-6,450e-9,2,16,27.6,165.6,585,pass,6.894e-9,9.707e-9,18.96e-6,45.82,149e6,2.486e6,150.3e6,1.283e-3,50.61,2,2,2,2,2,2,2,1,2,2,2,2,146.3e6
85,nom,200e-9,2.4e-6,200e-9,2,16,28.8,172.8,260,pass,6.278e-9,9.799e-9,33.23e-6,75.71,244.1e6,4.537e6,245.4e6,1.334e-3,48.42,2,2,2,2,2,2,2,1,2,2,2,2,216.8e6
86,nom,200e-9,2.4e-6,250e-9,2,16,28.8,172.8,325,pass,6.397e-9,9.662e-9,27.43e-6,68.44,224.7e6,3.986e6,227.6e6,1.334e-3,49.06,2,2,2,2,2,2,2,1,2,2,2,2,204e6
87,nom,200e-9,2.4e-6,300e-9,2,16,28.8,172.8,390,pass,6.512e-9,9.618e-9,23.87e-6,62.16,206.7e6,3.565e6,208.2e6,1.334e-3,49.53,2,2,2,2,2,2,2,1,2,2,2,2,186.5e6
88,nom,200e-9,2.4e-6,350e-9,2,16,28.8,172.8,454,pass,6.613e-9,9.612e-9,21.57e-6,56.03,189.9e6,3.165e6,191.4e6,1.334e-3,49.92,2,2,2,2,2,2,2,1,2,2,2,2,179.4e6
89,nom,200e-9,2.4e-6,400e-9,2,16,28.8,172.8,520,pass,6.698e-9,9.623e-9,20.06e-6,50.27,171.6e6,2.857e6,173.5e6,1.334e-3,50.26,2,2,2,2,2,2,2,1,2,2,2,2,164e6
90,nom,200e-9,2.4e-6,450e-9,2,16,28.8,172.8,585,pass,6.774e-9,9.642e-9,19e-6,45.39,153.7e6,2.57e6,154.5e6,1.334e-3,50.57,2,2,2,2,2,2,2,1,2,2,2,2,154.3e6
91,nom,200e-9,2.5e-6,200e-9,2,16,30,180,260,pass,6.186e-9,9.754e-9,33.27e-6,74.28,247.6e6,4.687e6,248.3e6,1.384e-3,48.36,2,2,2,2,2,2,2,1,2,2,2,2,226.5e6
92,nom,200e-9,2.5e-6,250e-9,2,16,30,180,325,pass,6.3e-9,9.613e-9,27.47e-6,68.48,231.5e6,4.121e6,234.2e6,1.384e-3,49,2,2,2,2,2,2,2,1,2,2,2,2,212.7e6
93,nom,200e-9,2.5e-6,300e-9,2,16,30,180,390,pass,6.411e-9,9.565e-9,23.91e-6,62.1,213.2e6,3.672e6,215.4e6,1.384e-3,49.48,2,2,2,2,2,2,2,1,2,2,2,2,204.2e6
94,nom,200e-9,2.5e-6,350e-9,2,16,30,180,454,pass,6.509e-9,9.557e-9,21.61e-6,55.93,193.6e6,3.276e6,194.6e6,1.384e-3,49.87,2,2,2,2,2,2,2,1,2,2,2,2,189.6e6
95,nom,200e-9,2.5e-6,400e-9,2,16,30,180,520,pass,6.59e-9,9.565e-9,20.1e-6,50.27,175.4e6,2.945e6,177.5e6,1.384e-3,50.21,2,2,2,2,2,2,2,1,2,2,2,2,169.6e6
96,nom,200e-9,2.5e-6,450e-9,2,16,30,180,585,pass,6.662e-9,9.583e-9,19.04e-6,45.37,157.4e6,2.659e6,157.6e6,1.384e-3,50.52,2,2,2,2,2,2,2,1,2,2,2,2,165.9e6
97,nom,200e-9,2.6e-6,200e-9,2,16,31.2,187.2,260,pass,6.1e-9,9.712e-9,33.32e-6,74.4,254.5e6,4.822e6,255.4e6,1.434e-3,48.3,2,2,2,2,2,2,2,1,2,2,2,2,235.2e6
98,nom,200e-9,2.6e-6,250e-9,2,16,31.2,187.2,325,pass,6.21e-9,9.567e-9,27.51e-6,68.51,238.3e6,4.251e6,240.3e6,1.434e-3,48.95,2,2,2,2,2,2,2,1,2,2,2,2,223.8e6
99,nom,200e-9,2.6e-6,300e-9,2,16,31.2,187.2,390,pass,6.316e-9,9.516e-9,23.95e-6,62.02,219.6e6,3.775e6,222.3e6,1.434e-3,49.43,2,2,2,2,2,2,2,1,2,2,2,2,211.8e6
100,nom,200e-9,2.6e-6,350e-9,2,16,31.2,187.2,454,pass,6.411e-9,9.506e-9,21.65e-6,55.74,199.4e6,3.379e6,199.5e6,1.434e-3,49.82,2,2,2,2,2,2,2,1,2,2,2,2,198.1e6
101,nom,200e-9,2.6e-6,400e-9,2,16,31.2,187.2,520,pass,6.488e-9,9.512e-9,20.14e-6,49.93,180.6e6,3.028e6,182.7e6,1.434e-3,50.17,2,2,2,2,2,2,2,1,2,2,2,2,184e6
102,nom,200e-9,2.6e-6,450e-9,2,16,31.2,187.2,585,near,6.557e-9,9.528e-9,19.08e-6,44.96,161.9e6,2.743e6,162.7e6,1.434e-3,50.47,2,2,2,2,2,2,2,1,2,2,2,2,168.8e6
103,nom,200e-9,2.7e-6,200e-9,2,16,32.4,194.4,260,pass,6.019e-9,9.674e-9,33.36e-6,74.48,261.4e6,4.95e6,263.5e6,1.484e-3,48.25,2,2,2,2,2,2,2,1,2,2,2,2,244e6
104,nom,200e-9,2.7e-6,250e-9,2,16,32.4,194.4,325,pass,6.125e-9,9.525e-9,27.56e-6,68.55,245.1e6,4.378e6,246.2e6,1.484e-3,48.89,2,2,2,2,2,2,2,1,2,2,2,2,233.3e6
105,nom,200e-9,2.7e-6,300e-9,2,16,32.4,194.4,390,pass,6.228e-9,9.472e-9,23.99e-6,61.93,226e6,3.875e6,228.7e6,1.484e-3,49.37,2,2,2,2,2,2,2,1,2,2,2,2,218.5e6
106,nom,200e-9,2.7e-6,350e-9,2,16,32.4,194.4,454,pass,6.318e-9,9.459e-9,21.69e-6,55.53,205.2e6,3.479e6,206.4e6,1.484e-3,49.77,2,2,2,2,2,2,2,1,2,2,2,2,206e6
107,nom,200e-9,2.7e-6,400e-9,2,16,32.4,194.4,520,pass,6.393e-9,9.463e-9,20.18e-6,49.99,184e6,3.111e6,186e6,1.484e-3,50.12,2,2,2,2,2,2,2,1,2,2,2,2,191.9e6
108,nom,200e-9,2.7e-6,450e-9,2,16,32.4,194.4,585,pass,6.46e-9,9.478e-9,19.11e-6,45.02,165.3e6,2.827e6,166.6e6,1.484e-3,50.43,2,2,2,2,2,2,2,1,2,2,2,2,178.1e6
109,nom,200e-9,2.8e-6,200e-9,2,16,33.6,201.6,260,pass,5.932e-9,9.634e-9,33.41e-6,74.54,269.2e6,5.114e6,272.4e6,1.536e-3,48.18,2,2,2,2,2,2,2,1,2,2,2,2,257e6
110,nom,200e-9,2.8e-6,250e-9,2,16,33.6,201.6,325,pass,6.032e-9,9.481e-9,27.6e-6,68.52,252.8e6,4.518e6,253.2e6,1.536e-3,48.83,2,2,2,2,2,2,2,1,2,2,2,2,242.1e6
