Point,Corner,L_Mn_drive,L_Mn_tail1,L_Mp_stg1,nf_ibias,nf_Mn_drive,nf_Mn_tail1,nf_Mn_tail2,nf_Mp_stg2,Pass/Fail,Noise_10M,Noise_1M,Noise_DC,Phase Margin,Phase Margin Frequency,3dB Bandwidth,UGB,DC_Power,DC_Gain,Region_Drive_1,Region_Drive_2,Region_Mn_tail1,Region_Mn_tail2,Region_Mp_stg1_1,Region_Mp_stg1_2,Region_Mp_stg2,Region_Mp_Rz,Region_Mn2,Region_Mp3,Region_Mp4,Region_Mn_ibias,Slew Rate Value
1,nom,200e-9,1e-6,200e-9,1,16,12,72,260,pass,6.583e-9,9.954e-9,33.12e-6,76.73,221.7e6,4.187e6,224.6e6,1.223e-3,48.39,2,2,2,2,2,2,2,1,2,2,2,2,188.2e6
2,nom,200e-9,1e-6,250e-9,1,16,12,72,325,pass,6.721e-9,9.83e-9,27.31e-6,70.71,206.5e6,3.704e6,208e6,1.223e-3,49.01,2,2,2,2,2,2,2,1,2,2,2,2,182.4e6
3,nom,200e-9,1e-6,300e-9,1,16,12,72,390,pass,6.864e-9,9.796e-9,23.75e-6,64.72,192.1e6,3.288e6,193.3e6,1.223e-3,49.47,2,2,2,2,2,2,2,1,2,2,2,2,173e6
4,nom,200e-9,1e-6,350e-9,1,16,12,72,454,pass,7.004e-9,9.799e-9,21.45e-6,58.42,175.7e6,2.948e6,177.8e6,1.223e-3,49.85,2,2,2,2,2,2,2,1,2,2,2,2,155.2e6
5,nom,200e-9,1e-6,400e-9,1,16,12,72,520,pass,7.14e-9,9.817e-9,19.94e-6,52.79,158.1e6,2.639e6,158.2e6,1.223e-3,50.18,2,2,2,2,2,2,2,1,2,2,2,2,149.9e6
6,nom,200e-9,1e-6,450e-9,1,16,12,72,585,pass,7.284e-9,9.843e-9,18.88e-6,47.77,142e6,2.382e6,143.7e6,1.223e-3,50.48,2,2,2,2,2,2,2,1,2,2,2,2,141.3e6
7,nom,200e-9,1.1e-6,200e-9,1,16,13.2,79.2,260,pass,6.354e-9,9.835e-9,33.21e-6,77.13,238.1e6,4.507e6,240.2e6,1.331e-3,48.27,2,2,2,2,2,2,2,1,2,2,2,2,205.6e6
8,nom,200e-9,1.1e-6,250e-9,1,16,13.2,79.2,325,pass,6.48e-9,9.701e-9,27.4e-6,70.87,222.4e6,3.956e6,225.3e6,1.331e-3,48.9,2,2,2,2,2,2,2,1,2,2,2,2,197.8e6
9,nom,200e-9,1.1e-6,300e-9,1,16,13.2,79.2,390,pass,6.609e-9,9.658e-9,23.84e-6,64.3,204.3e6,3.539e6,205.3e6,1.331e-3,49.36,2,2,2,2,2,2,2,1,2,2,2,2,188.7e6
10,nom,200e-9,1.1e-6,350e-9,1,16,13.2,79.2,454,pass,6.734e-9,9.655e-9,21.54e-6,57.99,187.5e6,3.147e6,189.2e6,1.331e-3,49.74,2,2,2,2,2,2,2,1,2,2,2,2,169e6
11,nom,200e-9,1.1e-6,400e-9,1,16,13.2,79.2,520,pass,6.852e-9,9.667e-9,20.03e-6,52.22,169e6,2.838e6,170.6e6,1.331e-3,50.08,2,2,2,2,2,2,2,1,2,2,2,2,163e6
12,nom,200e-9,1.1e-6,450e-9,1,16,13.2,79.2,585,pass,6.975e-9,9.689e-9,18.97e-6,47.45,150.9e6,2.55e6,152e6,1.331e-3,50.38,2,2,2,2,2,2,2,1,2,2,2,2,153.5e6
13,nom,200e-9,1.2e-6,200e-9,1,16,14.4,86.4,260,pass,6.156e-9,9.737e-9,33.3e-6,77.5,254.3e6,4.799e6,255e6,1.438e-3,48.15,2,2,2,2,2,2,2,1,2,2,2,2,227e6
14,nom,200e-9,1.2e-6,250e-9,1,16,14.4,86.4,325,pass,6.272e-9,9.594e-9,27.49e-6,70.15,233.6e6,4.244e6,236.1e6,1.438e-3,48.78,2,2,2,2,2,2,2,1,2,2,2,2,214.3e6
15,nom,200e-9,1.2e-6,300e-9,1,16,14.4,86.4,390,pass,6.389e-9,9.545e-9,23.93e-6,63.89,215.3e6,3.77e6,217.7e6,1.437e-3,49.25,2,2,2,2,2,2,2,1,2,2,2,2,202.7e6
16,nom,200e-9,1.2e-6,350e-9,1,16,14.4,86.4,454,pass,6.501e-9,9.536e-9,21.63e-6,57.64,198.3e6,3.371e6,198.6e6,1.437e-3,49.64,2,2,2,2,2,2,2,1,2,2,2,2,181.8e6
17,nom,200e-9,1.2e-6,400e-9,1,16,14.4,86.4,520,pass,6.605e-9,9.544e-9,20.12e-6,51.76,179.2e6,3.022e6,181.2e6,1.437e-3,49.98,2,2,2,2,2,2,2,1,2,2,2,2,175e6
18,nom,200e-9,1.2e-6,450e-9,1,16,14.4,86.4,585,pass,6.709e-9,9.561e-9,19.05e-6,46.87,160.1e6,2.736e6,160.5e6,1.437e-3,50.28,2,2,2,2,2,2,2,1,2,2,2,2,164.1e6
19,nom,200e-9,1.3e-6,200e-9,1,16,15.6,93.6,260,pass,5.958e-9,9.645e-9,33.4e-6,75.97,266.5e6,5.15e6,269.3e6,1.548e-3,48.02,2,2,2,2,2,2,2,1,2,2,2,2,246.4e6
20,nom,200e-9,1.3e-6,250e-9,1,16,15.6,93.6,325,pass,6.063e-9,9.493e-9,27.6e-6,70.17,250.3e6,4.548e6,250.4e6,1.548e-3,48.66,2,2,2,2,2,2,2,1,2,2,2,2,231.8e6
21,nom,200e-9,1.3e-6,300e-9,1,16,15.6,93.6,390,pass,6.169e-9,9.436e-9,24.02e-6,63.59,231.1e6,4.019e6,233.6e6,1.548e-3,49.13,2,2,2,2,2,2,2,1,2,2,2,2,219e6
22,nom,200e-9,1.3e-6,350e-9,1,16,15.6,93.6,454,pass,6.268e-9,9.422e-9,21.72e-6,57.2,209.9e6,3.617e6,211.7e6,1.548e-3,49.52,2,2,2,2,2,2,2,1,2,2,2,2,197.1e6
23,nom,200e-9,1.3e-6,400e-9,1,16,15.6,93.6,520,pass,6.359e-9,9.425e-9,20.21e-6,51.22,190.1e6,3.233e6,191.5e6,1.548e-3,49.87,2,2,2,2,2,2,2,1,2,2,2,2,183.2e6
24,nom,200e-9,1.3e-6,450e-9,1,16,15.6,93.6,585,pass,6.449e-9,9.438e-9,19.15e-6,46.2,170.1e6,2.935e6,171.8e6,1.548e-3,50.18,2,2,2,2,2,2,2,1,2,2,2,2,177e6
25,nom,200e-9,1.4e-6,200e-9,1,16,16.8,100.8,260,pass,5.811e-9,9.58e-9,33.49e-6,76.24,280.7e6,5.453e6,284.4e6,1.653e-3,47.9,2,2,2,2,2,2,2,1,2,2,2,2,263.1e6
26,nom,200e-9,1.4e-6,250e-9,1,16,16.8,100.8,325,pass,5.907e-9,9.421e-9,27.68e-6,70.29,264.6e6,4.787e6,267.1e6,1.653e-3,48.55,2,2,2,2,2,2,2,1,2,2,2,2,247.1e6
27,nom,200e-9,1.4e-6,300e-9,1,16,16.8,100.8,390,pass,6.005e-9,9.36e-9,24.11e-6,63.23,239.8e6,4.264e6,241.6e6,1.653e-3,49.03,2,2,2,2,2,2,2,1,2,2,2,2,234.5e6
28,nom,200e-9,1.4e-6,350e-9,1,16,16.8,100.8,454,pass,6.096e-9,9.341e-9,21.8e-6,57.02,218.6e6,3.811e6,221.2e6,1.653e-3,49.42,2,2,2,2,2,2,2,1,2,2,2,2,211.1e6
29,nom,200e-9,1.4e-6,400e-9,1,16,16.8,100.8,520,pass,6.176e-9,9.341e-9,20.29e-6,51.03,198.7e6,3.428e6,198.8e6,1.653e-3,49.78,2,2,2,2,2,2,2,1,2,2,2,2,203.6e6
30,nom,200e-9,1.4e-6,450e-9,1,16,16.8,100.8,585,pass,6.255e-9,9.351e-9,19.22e-6,45.9,178.1e6,3.093e6,180.1e6,1.653e-3,50.08,2,2,2,2,2,2,2,1,2,2,2,2,188.6e6
31,nom,200e-9,1.5e-6,200e-9,1,16,18,108,260,pass,5.681e-9,9.526e-9,33.57e-6,76.53,294.7e6,5.736e6,297.9e6,1.757e-3,47.79,2,2,2,2,2,2,2,1,2,2,2,2,278.4e6
32,nom,200e-9,1.5e-6,250e-9,1,16,18,108,325,pass,5.77e-9,9.361e-9,27.77e-6,69.44,272.1e6,5.024e6,275.4e6,1.757e-3,48.44,2,2,2,2,2,2,2,1,2,2,2,2,262.9e6
33,nom,200e-9,1.5e-6,300e-9,1,16,18,108,390,pass,5.86e-9,9.295e-9,24.19e-6,63.12,252.4e6,4.484e6,252.7e6,1.757e-3,48.93,2,2,2,2,2,2,2,1,2,2,2,2,249.4e6
34,nom,200e-9,1.5e-6,350e-9,1,16,18,108,454,pass,5.943e-9,9.273e-9,21.88e-6,56.64,230.2e6,3.99e6,232.7e6,1.757e-3,49.33,2,2,2,2,2,2,2,1,2,2,2,2,231.1e6
35,nom,200e-9,1.5e-6,400e-9,1,16,18,108,520,pass,6.016e-9,9.27e-9,20.36e-6,50.95,206.5e6,3.612e6,207.8e6,1.757e-3,49.68,2,2,2,2,2,2,2,1,2,2,2,2,207.9e6
36,nom,200e-9,1.5e-6,450e-9,1,16,18,108,585,pass,6.086e-9,9.277e-9,19.3e-6,45.71,185.5e6,3.26e6,187.3e6,1.757e-3,49.99,2,2,2,2,2,2,2,1,2,2,2,2,192.6e6
37,nom,200e-9,1.6e-6,200e-9,1,16,19.2,115.2,260,pass,5.565e-9,9.481e-9,33.66e-6,76.82,308.5e6,6.001e6,310e6,1.861e-3,47.67,2,2,2,2,2,2,2,1,2,2,2,2,293.1e6
38,nom,200e-9,1.6e-6,250e-9,1,16,19.2,115.2,325,pass,5.648e-9,9.311e-9,27.85e-6,69.55,284.8e6,5.283e6,288.4e6,1.861e-3,48.33,2,2,2,2,2,2,2,1,2,2,2,2,277.7e6
