ibias,mul_cap,nf_ibias,nf_Mn_drive,nf_Mn_tail1,nf_Mn_tail2,nf_Mp_stg1,nf_Mp_stg2,nf_Rz,nf_Mp3,nf_Mp4,CMRR_DC,Noise_10M,Noise_1M,Noise_DC,Phase Margin,Phase Margin Frequency,3dB Bandwidth,UGB,DC_Power,DC_Gain,Slew Rate Value,PSRR_DC
8E-06,12,2,26,22,460,6,216,119,2,1,62.69,6.935E-09,9.313E-09,4.373E-05,89.84,163300000,3605000,164400000,0.002818,46.06,110000000,-44.33
2E-05,14,8,13,44,460,11,216,130,8,4,64.82,7.651E-09,1.096E-08,4.558E-05,89.72,135900000,3011000,137600000,0.001731,46.28,114600000,-46.32
8E-06,10,2,13,22,460,6,216,106,2,1,66.28,7.891E-09,1.141E-08,5.256E-05,89.68,159800000,3748000,160200000,0.002816,45.31,122600000,-43.8
1.7E-05,14,8,13,44,460,11,216,130,8,4,64.21,8.132E-09,1.125E-08,4.516E-05,89.64,122000000,2611000,122700000,0.001482,46.74,101500000,-46.95
1.4E-05,14,8,13,44,460,11,216,130,8,4,63.72,8.771E-09,1.166E-08,4.473E-05,89.57,106800000,2212000,108100000,0.001232,47.23,87210000,-47.62
1.1E-05,14,8,13,44,460,11,216,130,8,4,63.27,9.667E-09,1.23E-08,4.43E-05,89.5,90140000,1798000,91340000,0.0009796,47.75,72050000,-48.35
2E-05,14,4,26,22,230,11,216,130,8,4,70.23,6.612E-09,8.777E-09,3.748E-05,89.48,169100000,3339000,171100000,0.001737,47.45,123600000,-47.2
2E-05,14,8,13,22,230,11,216,130,16,8,64.6,1.018E-08,1.269E-08,4.411E-05,89.47,83030000,1578000,83790000,0.000876,48.27,62060000,-48.74
1.4E-05,14,4,26,44,460,11,216,130,4,2,73.57,5.666E-09,8.135E-09,3.769E-05,89.45,217300000,4725000,220200000,0.002462,46.02,167400000,-45.49
1.7E-05,14,4,26,22,230,11,216,130,8,4,69,7.097E-09,9.131E-09,3.742E-05,89.43,150400000,2888000,151700000,0.001488,47.86,108500000,-47.79
1.7E-05,12,4,26,22,460,6,216,119,4,2,62.57,6.92E-09,9.3E-09,4.373E-05,89.42,162900000,3657000,163900000,0.002843,46.04,110000000,-44.29
8E-06,14,4,13,44,230,21,216,130,8,4,61.33,8.486E-09,1.122E-08,3.812E-05,89.38,129300000,2448000,130100000,0.000784,47.66,106700000,-48.55
