ibias,mul_cap,nf_ibias,nf_Mn_drive,nf_Mn_tail1,nf_Mn_tail2,nf_Mp_stg1,nf_Mp_stg2,nf_Rz,nf_Mp3,nf_Mp4,CMRR_DC,Noise_10M,Noise_1M,Noise_DC,Phase Margin,Phase Margin Frequency,3dB Bandwidth,UGB,DC_Power,DC_Gain,Slew Rate Value,PSRR_DC
5E-06,10,2,13,22,230,21,432,211,8,4,62.6,1.018E-08,1.242E-08,3.713E-05,83.94,111200000,2005000,112800000,0.0009453,48.66,90940000,-49.59
8E-06,14,2,13,88,460,42,432,260,4,2,54.71,5.561E-09,9.885E-09,3.85E-05,83.89,287200000,7005000,291000000,0.003153,44.2,332200000,-44.46
1.7E-05,14,4,13,44,115,42,216,130,16,8,59.41,6.727E-09,1.007E-08,3.443E-05,83.88,234500000,4375000,237000000,0.0009242,46.59,194300000,-47.27
2E-05,14,4,13,44,115,42,216,130,16,8,58.45,6.398E-09,9.956E-09,3.52E-05,83.88,258100000,4949000,259600000,0.001078,46.18,219000000,-46.75
8E-06,12,2,26,22,230,21,432,237,8,4,64.42,7.362E-09,9.076E-09,3.141E-05,83.87,159600000,2815000,159900000,0.00147,48.82,122000000,-49.48
1.1E-05,14,2,13,44,230,42,432,260,8,4,57.13,6.144E-09,9.893E-09,3.597E-05,83.87,234000000,5063000,236600000,0.002135,45.78,251100000,-46.21
1.7E-05,10,4,13,22,115,21,216,106,16,8,62.23,8.394E-09,1.116E-08,3.82E-05,83.87,183200000,3323000,185500000,0.0008093,47.87,149500000,-48.54
8E-06,14,2,13,44,230,42,432,260,8,4,59.49,6.751E-09,1.007E-08,3.441E-05,83.86,195200000,3964000,196000000,0.001583,46.6,197200000,-47.28
2E-05,8,8,13,22,460,11,432,181,16,8,64.64,1.022E-08,1.269E-08,4.411E-05,83.85,115400000,2238000,116800000,0.001665,48.27,91700000,-48.73
1.1E-05,14,2,13,22,115,42,432,260,16,8,60.97,7.776E-09,1.059E-08,3.281E-05,83.83,151200000,2856000,152500000,0.001073,47.71,139400000,-48.43
2E-05,10,2,13,22,460,21,864,421,8,4,54.81,6.204E-09,1.008E-08,4.167E-05,83.82,211100000,4844000,213400000,0.006686,45.47,210000000,-45.31
2E-05,12,2,26,22,115,21,216,119,8,4,62.12,5.026E-09,7.509E-09,3.261E-05,83.79,374000000,6810000,377700000,0.001891,46.74,291500000,-46.66
5E-06,12,4,26,88,460,21,216,119,4,2,62.12,6.625E-09,8.535E-09,3.163E-05,83.78,221600000,3877000,224600000,0.001002,47.86,174000000,-48.78
1.4E-05,14,8,13,44,115,42,216,130,32,16,61.06,9.469E-09,1.174E-08,3.134E-05,83.78,122800000,2081000,123400000,0.0003909,48.29,93730000,-49.49
5E-06,12,2,13,44,230,21,216,119,4,2,61.17,7.629E-09,1.069E-08,3.896E-05,83.74,176700000,3542000,179100000,0.001019,47.07,155500000,-47.77
2E-05,14,2,13,22,115,42,432,260,16,8,54.75,6.387E-09,9.955E-09,3.526E-05,83.74,216900000,4532000,219700000,0.001886,46.37,224600000,-46.66
1.4E-05,14,2,13,22,115,42,432,260,16,8,59.57,7.142E-09,1.025E-08,3.369E-05,83.72,176000000,3446000,178400000,0.001347,47.23,168200000,-47.81
2E-05,10,4,13,22,115,21,216,106,16,8,61.92,7.889E-09,1.085E-08,3.866E-05,83.72,204600000,3799000,205800000,0.0009447,47.54,170200000,-48.1
1.4E-05,12,4,26,44,230,21,216,119,8,4,63.63,5.824E-09,7.983E-09,3.2E-05,83.7,278400000,4988000,282200000,0.001335,47.49,217100000,-47.97
1.7E-05,14,2,13,22,115,42,432,260,16,8,57.48,6.705E-09,1.006E-08,3.45E-05,83.7,197700000,3981000,198100000,0.001618,46.79,197900000,-47.22
5E-06,10,2,13,22,460,21,864,421,8,4,62.63,1.023E-08,1.243E-08,3.713E-05,83.67,89000000,1637000,90190000,0.001814,48.66,72510000,-49.58
1.4E-05,10,2,13,44,460,21,432,211,4,2,53.65,5.631E-09,1.002E-08,4.385E-05,83.67,324000000,8257000,325800000,0.00496,43.78,348700000,-43.36
1.4E-05,10,4,13,44,230,21,216,106,8,4,60.81,6.926E-09,1.033E-08,3.996E-05,83.67,259800000,5214000,261700000,0.001332,46.38,232500000,-46.85
1.7E-05,10,4,13,88,460,21,216,106,4,2,56.11,5.417E-09,1.005E-08,4.504E-05,83.67,433100000,11170000,438600000,0.003179,42.69,402200000,-42.23
5E-06,14,2,13,88,460,42,432,260,4,2,58.5,6.246E-09,9.912E-09,3.565E-05,83.66,224900000,4883000,228000000,0.002032,45.68,243600000,-46.36
1.1E-05,12,4,13,22,115,21,216,119,16,8,62.53,1.001E-08,1.231E-08,3.72E-05,83.66,109100000,1972000,110600000,0.0005352,48.61,84740000,-49.54
1.7E-05,10,2,13,22,460,21,864,421,8,4,57.85,6.501E-09,1.016E-08,4.088E-05,83.66,193600000,4287000,194700000,0.005733,46.01,188800000,-46.05
2E-05,10,2,13,22,230,21,432,211,8,4,54.78,6.193E-09,1.008E-08,4.167E-05,83.64,269000000,6100000,272200000,0.003485,45.48,273100000,-45.32
1.7E-05,10,4,13,44,460,11,216,106,4,2,69.18,6.325E-09,1.033E-08,4.755E-05,83.61,257600000,6610000,259100000,0.002956,44.2,230600000,-43.43
2E-05,10,4,13,44,230,21,216,106,8,4,59.31,6.201E-09,1.007E-08,4.16E-05,83.6,322000000,7010000,323400000,0.001869,45.28,300100000,-45.42
2E-05,12,8,26,44,230,21,216,119,16,8,63.26,6.84E-09,8.694E-09,3.155E-05,83.6,207200000,3640000,208900000,0.0009447,48.28,159200000,-49.05
1.1E-05,14,8,13,88,230,42,216,130,16,8,59.78,7.866E-09,1.065E-08,3.27E-05,83.58,171100000,3100000,173200000,0.0006083,47.27,141000000,-48.41
1.7E-05,10,4,13,44,230,21,216,106,8,4,60.22,6.507E-09,1.016E-08,4.08E-05,83.58,292600000,6114000,296000000,0.001601,45.81,267400000,-46.12
1.4E-05,10,2,13,22,460,21,864,421,8,4,60.13,6.913E-09,1.032E-08,4.003E-05,83.56,173400000,3688000,175600000,0.004772,46.58,164800000,-46.81
1.1E-05,14,4,13,22,230,21,432,260,16,8,62.59,1.003E-08,1.231E-08,3.719E-05,83.52,84260000,1573000,85160000,0.000984,48.61,67880000,-49.52
1.7E-05,14,8,13,44,115,42,216,130,32,16,60.95,8.761E-09,1.123E-08,3.185E-05,83.52,140900000,2432000,142700000,0.0004705,48.01,110400000,-49.11
2E-05,14,8,13,22,460,21,864,520,32,16,62.64,1.064E-08,1.277E-08,3.694E-05,83.51,64630000,1201000,64970000,0.001665,48.8,50520000,-49.78
1.1E-05,10,2,13,22,460,21,864,421,8,4,61.57,7.514E-09,1.061E-08,3.914E-05,83.5,149900000,3047000,151300000,0.003801,47.2,137000000,-47.63
8E-06,14,2,13,22,230,21,432,260,8,4,62.3,8.437E-09,1.118E-08,3.818E-05,83.48,114000000,2244000,115500000,0.001469,47.88,98180000,-48.54
1.7E-05,10,2,13,22,230,21,432,211,8,4,57.82,6.487E-09,1.016E-08,4.088E-05,83.47,245800000,5376000,246800000,0.002989,46.01,244100000,-46.06
1.1E-05,14,4,13,22,460,21,864,520,16,8,62.62,1.008E-08,1.231E-08,3.719E-05,83.46,71600000,1342000,72520000,0.001882,48.61,57210000,-49.51
5E-06,14,4,13,44,460,21,432,260,8,4,61.44,1.028E-08,1.25E-08,3.708E-05,83.44,80060000,1522000,80220000,0.0009293,48.44,67400000,-49.6
1.1E-05,10,2,13,22,230,21,432,211,8,4,61.57,7.49E-09,1.061E-08,3.914E-05,83.43,189000000,3791000,190700000,0.001982,47.2,174600000,-47.64
1.1E-05,14,2,26,22,115,21,216,130,8,4,64.38,6.401E-09,8.374E-09,3.172E-05,83.43,196400000,3562000,197100000,0.001074,48.24,151100000,-48.7
1.4E-05,14,8,13,88,230,42,216,130,16,8,59.52,7.213E-09,1.029E-08,3.356E-05,83.43,200500000,3766000,200700000,0.0007651,46.8,166000000,-47.8
5E-06,12,2,26,44,460,21,432,237,4,2,63.38,6.562E-09,8.48E-09,3.166E-05,83.41,190900000,3525000,192400000,0.001889,48.08,156100000,-48.78
1.4E-05,10,2,13,22,230,21,432,211,8,4,60.09,6.894E-09,1.032E-08,4.003E-05,83.41,219400000,4607000,222300000,0.002488,46.58,211100000,-46.82
1.4E-05,10,4,13,22,460,21,864,421,16,8,62.52,9.116E-09,1.162E-08,3.771E-05,83.4,107200000,2049000,108500000,0.002365,48.22,90090000,-48.99
2E-05,10,4,13,22,460,21,864,421,16,8,62.02,7.923E-09,1.085E-08,3.866E-05,83.4,135900000,2731000,137500000,0.003318,47.53,120200000,-48.07
1.7E-05,10,4,13,22,460,21,864,421,16,8,62.32,8.435E-09,1.116E-08,3.819E-05,83.39,122200000,2396000,122800000,0.002843,47.87,105800000,-48.51
2E-05,14,8,13,88,230,42,216,130,16,8,58.81,6.423E-09,9.962E-09,3.513E-05,83.39,249900000,4979000,250100000,0.001075,45.95,214100000,-46.72
8E-06,12,2,26,22,460,21,864,473,8,4,64.46,7.394E-09,9.078E-09,3.141E-05,83.38,129600000,2329000,130500000,0.002819,48.82,99890000,-49.47
1.7E-05,14,8,13,88,230,42,216,130,16,8,59.2,6.758E-09,1.008E-08,3.437E-05,83.38,226500000,4401000,229400000,0.0009205,46.36,190800000,-47.24
5E-06,10,4,13,88,460,21,216,106,4,2,60.22,7.708E-09,1.074E-08,3.886E-05,83.37,211100000,4070000,213300000,0.001,46.86,185500000,-47.77
8E-06,14,2,52,44,460,11,216,130,2,1,68.03,4.559E-09,6.367E-09,3.151E-05,83.37,290300000,6244000,293800000,0.002937,46.05,203900000,-45.03
1.4E-05,12,2,26,22,230,21,432,237,8,4,64.19,5.791E-09,7.958E-09,3.202E-05,83.37,236200000,4495000,238600000,0.002491,47.7,196100000,-47.96
1.7E-05,12,4,26,44,230,21,216,119,8,4,63.83,5.382E-09,7.708E-09,3.229E-05,83.37,319100000,5921000,319800000,0.001605,47,254900000,-47.31
8E-06,14,4,13,44,230,42,432,260,16,8,60.99,8.848E-09,1.127E-08,3.18E-05,83.36,118400000,2221000,119600000,0.0007843,48.03,106900000,-49.13
2E-05,12,2,26,22,230,21,432,237,8,4,62.21,5.031E-09,7.509E-09,3.261E-05,83.35,299200000,6061000,302000000,0.003491,46.73,263700000,-46.64
2E-05,14,8,13,44,115,42,216,130,32,16,60.78,8.224E-09,1.087E-08,3.232E-05,83.35,157600000,2780000,157800000,0.0005494,47.75,126000000,-48.77
1.7E-05,12,2,26,22,230,21,432,237,8,4,63.49,5.355E-09,7.69E-09,3.232E-05,83.3,269000000,5285000,272200000,0.002993,47.21,232000000,-47.28
2E-05,12,8,26,44,460,11,216,119,8,4,68.09,6.635E-09,8.792E-09,3.748E-05,83.3,186100000,3854000,188100000,0.001733,47.19,145900000,-47.16
1.1E-05,10,2,13,44,460,21,432,211,4,2,57.92,5.964E-09,1.003E-08,4.24E-05,83.28,286600000,6839000,290400000,0.003954,44.75,305500000,-44.7
1.4E-05,12,4,13,22,115,21,216,119,16,8,62.43,9.066E-09,1.162E-08,3.771E-05,83.26,129200000,2411000,130000000,0.0006729,48.23,104100000,-49.02
1.7E-05,12,4,26,22,230,21,432,237,16,8,64.21,7.336E-09,9.061E-09,3.141E-05,83.23,158400000,2833000,158500000,0.001489,48.81,121800000,-49.47
5E-06,10,2,13,44,460,21,432,211,4,2,61.2,7.643E-09,1.069E-08,3.895E-05,83.22,180600000,3644000,183000000,0.001887,47.07,170900000,-47.76
1.1E-05,12,2,26,22,460,21,864,473,8,4,64.51,6.432E-09,8.375E-09,3.172E-05,83.22,161700000,3017000,162500000,0.003803,48.23,130900000,-48.67
8E-06,14,2,13,22,460,21,864,520,8,4,62.33,8.477E-09,1.118E-08,3.818E-05,83.21,96380000,1889000,97010000,0.002818,47.88,82370000,-48.53
2E-05,12,2,26,22,460,21,864,473,8,4,62.26,5.042E-09,7.509E-09,3.261E-05,83.21,238600000,4922000,240700000,0.006692,46.73,210900000,-46.63
2E-05,14,8,13,22,230,21,432,260,32,16,62.61,1.059E-08,1.276E-08,3.694E-05,83.21,75960000,1414000,76550000,0.0008766,48.8,59320000,-49.79
2E-05,14,2,13,22,230,42,864,520,16,8,54.79,6.402E-09,9.955E-09,3.526E-05,83.2,178000000,3827000,180400000,0.003487,46.37,187700000,-46.65
1.1E-05,14,4,13,44,230,42,432,260,16,8,60.65,7.833E-09,1.062E-08,3.275E-05,83.18,146600000,2855000,148300000,0.00106,47.5,138300000,-48.44
1.7E-05,12,4,26,22,460,21,864,473,16,8,64.46,7.364E-09,9.062E-09,3.141E-05,83.17,129500000,2349000,130300000,0.002845,48.81,99550000,-49.46
2E-05,12,2,13,22,115,21,216,119,8,4,54.74,6.188E-09,1.008E-08,4.167E-05,83.17,262400000,5955000,264800000,0.001885,45.48,246400000,-45.33
2E-05,10,8,13,44,230,21,216,106,16,8,61.24,7.917E-09,1.086E-08,3.864E-05,83.16,199300000,3833000,199400000,0.000943,47.29,173000000,-48.06
2E-05,14,4,13,44,230,42,432,260,16,8,58.5,6.405E-09,9.956E-09,3.52E-05,83.16,212200000,4556000,214600000,0.001869,46.18,226100000,-46.73
8E-06,12,2,13,44,230,21,216,119,4,2,60.25,6.52E-09,1.017E-08,4.078E-05,83.15,235400000,5175000,237800000,0.001583,45.83,219000000,-46.14
1.4E-05,12,2,26,22,460,21,864,473,8,4,64.25,5.809E-09,7.959E-09,3.202E-05,83.14,190100000,3683000,191700000,0.004775,47.7,158300000,-47.95
1.7E-05,12,2,26,22,460,21,864,473,8,4,63.54,5.37E-09,7.691E-09,3.232E-05,83.14,215600000,4322000,218200000,0.005737,47.2,185700000,-47.27
8E-06,14,2,13,22,230,42,864,520,16,8,61.87,8.812E-09,1.122E-08,3.185E-05,83.13,101100000,1903000,101400000,0.001469,48.24,90500000,-49.12
1.4E-05,14,4,13,88,460,42,432,260,8,4,56.9,5.803E-09,9.858E-09,3.725E-05,83.13,257900000,6067000,259400000,0.002647,44.85,294900000,-45.3
8E-06,10,4,13,88,460,21,216,106,4,2,60.05,6.57E-09,1.019E-08,4.065E-05,83.12,284500000,5991000,288300000,0.001559,45.62,259800000,-46.15
1.4E-05,14,4,13,44,230,42,432,260,16,8,60.16,7.185E-09,1.027E-08,3.362E-05,83.12,171100000,3449000,173300000,0.001333,47.03,169100000,-47.82
1.7E-05,14,4,13,44,230,42,432,260,16,8,59.46,6.735E-09,1.007E-08,3.443E-05,83.12,192800000,3993000,194100000,0.001602,46.59,196900000,-47.26
1.7E-05,14,2,13,22,230,42,864,520,16,8,57.52,6.723E-09,1.006E-08,3.45E-05,83.11,162500000,3396000,163400000,0.00299,46.78,165600000,-47.21
2E-05,12,4,26,22,230,21,432,237,16,8,64.47,6.826E-09,8.678E-09,3.156E-05,83.11,178200000,3236000,180600000,0.001737,48.52,140400000,-49.07
2E-05,12,4,26,22,460,21,864,473,16,8,64.52,6.849E-09,8.679E-09,3.156E-05,83.11,145300000,2686000,147100000,0.00332,48.52,114500000,-49.06
1.1E-05,14,2,13,44,460,42,864,520,8,4,57.15,6.16E-09,9.894E-09,3.597E-05,83.1,190500000,4275000,192000000,0.003954,45.77,209500000,-46.2
1.4E-05,10,4,13,22,230,21,432,211,16,8,62.49,9.082E-09,1.162E-08,3.771E-05,83.1,133600000,2513000,135100000,0.001237,48.22,113700000,-49
1.1E-05,12,8,26,88,460,21,216,119,8,4,62.16,6.487E-09,8.436E-09,3.168E-05,83.09,225000000,4072000,228000000,0.001056,47.76,182200000,-48.64
1.7E-05,14,4,13,22,115,42,432,260,32,16,61.81,8.739E-09,1.121E-08,3.187E-05,83.09,120900000,2234000,121700000,0.0008097,48.24,104200000,-49.12
1.4E-05,12,2,26,44,460,21,432,237,4,2,63.31,4.404E-09,7.219E-09,3.344E-05,83.07,373800000,8376000,377600000,0.00497,45.2,353000000,-44.86
1.1E-05,14,8,13,44,460,21,432,260,16,8,61.44,1.007E-08,1.234E-08,3.717E-05,83.06,82470000,1584000,83120000,0.00098,48.37,69280000,-49.5
1.4E-05,14,2,13,22,230,42,864,520,16,8,59.61,7.165E-09,1.025E-08,3.369E-05,83.06,144800000,2932000,146600000,0.002489,47.23,142500000,-47.79
1.1E-05,14,2,13,22,230,42,864,520,16,8,61.02,7.805E-09,1.059E-08,3.281E-05,83.05,124600000,2431000,124900000,0.001982,47.71,117100000,-48.42
1.4E-05,10,4,13,22,460,11,432,211,8,4,65.31,8.76E-09,1.164E-08,4.475E-05,83.03,126100000,2578000,126200000,0.002364,47.48,103900000,-47.64
1.1E-05,12,8,13,44,230,21,216,119,16,8,61.41,1.005E-08,1.234E-08,3.718E-05,83.02,106600000,1988000,107800000,0.0005335,48.37,87750000,-49.51
1.7E-05,10,4,13,22,230,21,432,211,16,8,62.29,8.408E-09,1.116E-08,3.819E-05,83.02,152600000,2958000,153600000,0.001487,47.87,133700000,-48.52
8E-06,12,2,26,44,460,21,432,237,4,2,63.87,5.402E-09,7.715E-09,3.228E-05,83.01,262700000,5207000,265100000,0.002935,47.02,230700000,-47.32
1.4E-05,12,2,26,44,230,21,216,119,4,2,63.23,4.401E-09,7.219E-09,3.345E-05,82.99,482300000,9500000,485500000,0.002686,45.21,372100000,-44.87
5E-06,14,2,13,44,460,42,864,520,8,4,60.73,7.968E-09,1.068E-08,3.263E-05,82.98,119100000,2351000,120200000,0.001887,47.56,115200000,-48.51
5E-06,14,4,13,88,460,42,432,260,8,4,59.84,8.027E-09,1.073E-08,3.254E-05,82.98,139400000,2734000,141300000,0.001001,47.36,137100000,-48.52
8E-06,14,2,13,44,460,42,864,520,8,4,59.52,6.773E-09,1.008E-08,3.44E-05,82.98,159100000,3363000,159300000,0.002932,46.6,165000000,-47.27
1.1E-05,14,4,13,88,460,42,432,260,8,4,58.36,6.182E-09,9.898E-09,3.584E-05,82.98,226200000,5024000,229200000,0.002107,45.58,249300000,-46.23
2E-05,10,4,13,22,230,21,432,211,16,8,61.99,7.9E-09,1.085E-08,3.866E-05,82.98,170000000,3375000,172000000,0.001736,47.53,153700000,-48.08
8E-06,12,4,26,88,460,21,216,119,4,2,62.78,5.445E-09,7.745E-09,3.223E-05,82.92,310200000,5805000,311400000,0.001562,46.8,250600000,-47.33
2E-05,12,8,13,22,115,21,216,119,32,16,62.56,1.058E-08,1.276E-08,3.694E-05,82.9,97950000,1770000,98350000,0.0004824,48.8,73880000,-49.8
5E-06,12,2,26,88,460,21,216,119,2,1,63.55,4.884E-09,7.434E-09,3.276E-05,82.89,388700000,7390000,390400000,0.002037,45.98,298300000,-46.21
8E-06,14,4,13,88,460,42,432,260,8,4,59.26,6.808E-09,1.01E-08,3.429E-05,82.89,187800000,3930000,189700000,0.001559,46.4,196100000,-47.28
1.1E-05,12,2,26,44,460,21,432,237,4,2,64.01,4.788E-09,7.384E-09,3.288E-05,82.88,322000000,6829000,323400000,0.003959,46.07,296300000,-46.05
1.7E-05,14,2,52,22,115,21,216,130,8,4,67.64,4.621E-09,6.171E-09,2.677E-05,82.86,354700000,5742000,359200000,0.001624,48.08,238600000,-48.16
8E-06,12,2,26,22,460,11,432,237,4,2,69.04,7.134E-09,9.145E-09,3.742E-05,82.84,148600000,2909000,150100000,0.002819,47.88,112600000,-47.8
1.1E-05,10,2,13,22,460,11,432,211,4,2,66.15,7.25E-09,1.073E-08,4.604E-05,82.84,175100000,3922000,177400000,0.003801,46.07,154200000,-45.7
1.1E-05,14,8,13,44,230,42,432,260,32,16,61.2,1.048E-08,1.249E-08,3.078E-05,82.84,86910000,1581000,88060000,0.0005338,48.59,73690000,-49.88
1.7E-05,14,4,52,44,460,11,216,130,4,2,67.84,4.548E-09,6.357E-09,3.151E-05,82.8,288800000,6313000,292400000,0.002962,46.03,203200000,-45
2E-05,10,4,13,44,460,21,432,211,8,4,59.35,6.206E-09,1.007E-08,4.16E-05,82.8,262300000,6100000,264600000,0.003451,45.28,272300000,-45.41
5E-06,14,4,13,44,460,42,864,520,16,8,61.24,1.076E-08,1.267E-08,3.068E-05,82.79,70600000,1310000,71550000,0.0009294,48.64,60890000,-49.95
8E-06,10,4,13,44,460,21,432,211,8,4,61.36,8.503E-09,1.122E-08,3.812E-05,82.78,148400000,2920000,149900000,0.001448,47.66,134500000,-48.54
8E-06,14,2,13,44,460,21,432,260,4,2,60.29,6.532E-09,1.017E-08,4.078E-05,82.78,178400000,4062000,180700000,0.002931,45.83,175600000,-46.13
1.1E-05,12,4,13,44,230,21,216,119,8,4,61.14,7.533E-09,1.064E-08,3.907E-05,82.78,178100000,3660000,180500000,0.00106,46.99,160300000,-47.66
1.1E-05,12,4,26,44,460,21,432,237,8,4,63.42,6.459E-09,8.409E-09,3.169E-05,82.78,193600000,3654000,194700000,0.00196,48.01,160600000,-48.68
1.1E-05,10,8,13,88,460,21,216,106,8,4,60.22,7.573E-09,1.066E-08,3.902E-05,82.75,214100000,4284000,216700000,0.001054,46.74,194500000,-47.62
2E-05,14,4,13,44,460,42,864,520,16,8,58.53,6.42E-09,9.956E-09,3.52E-05,82.75,174500000,3835000,176800000,0.003452,46.18,186500000,-46.73
1.4E-05,12,8,26,88,460,21,216,119,8,4,62.46,5.856E-09,8.004E-09,3.198E-05,82.73,268000000,4996000,271000000,0.001329,47.24,221300000,-47.92
1.7E-05,10,4,13,44,460,21,432,211,8,4,60.26,6.513E-09,1.016E-08,4.08E-05,82.72,239100000,5361000,241100000,0.002958,45.81,241800000,-46.11
5E-06,12,2,13,88,460,21,216,119,2,1,59.68,6.05E-09,1.004E-08,4.207E-05,82.71,269900000,6439000,273200000,0.002031,44.68,256100000,-44.91
1.1E-05,14,4,13,44,460,21,432,260,8,4,61.17,7.546E-09,1.064E-08,3.907E-05,82.71,136500000,2893000,138300000,0.001958,46.98,126500000,-47.65
1.4E-05,10,4,13,44,460,21,432,211,8,4,60.84,6.933E-09,1.033E-08,3.996E-05,82.69,212900000,4588000,215300000,0.00246,46.38,210700000,-46.84
1.4E-05,14,8,13,44,230,42,432,260,32,16,61.1,9.489E-09,1.174E-08,3.134E-05,82.69,103300000,1925000,104000000,0.0006716,48.28,90190000,-49.47
1.4E-05,12,8,13,44,230,21,216,119,16,8,61.39,9.105E-09,1.164E-08,3.769E-05,82.68,126400000,2433000,126500000,0.0006712,47.98,106600000,-48.98
1.7E-05,14,4,13,44,460,42,864,520,16,8,59.49,6.754E-09,1.007E-08,3.443E-05,82.66,158700000,3395000,158800000,0.002958,46.59,165900000,-47.25
1.7E-05,10,8,13,88,460,21,216,106,8,4,60.03,6.534E-09,1.017E-08,4.074E-05,82.65,282600000,6117000,286400000,0.001595,45.57,265800000,-46.07
1.7E-05,14,2,52,22,230,21,432,260,8,4,67.88,4.627E-09,6.171E-09,2.677E-05,82.64,285500000,5185000,289300000,0.002996,48.08,215700000,-48.14
8E-06,14,4,13,44,460,42,864,520,16,8,61.02,8.889E-09,1.127E-08,3.179E-05,82.61,97990000,1894000,98380000,0.001449,48.03,90200000,-49.12
1.4E-05,12,4,26,44,460,21,432,237,8,4,63.67,5.831E-09,7.983E-09,3.2E-05,82.61,228900000,4477000,231800000,0.002463,47.49,197300000,-47.96
1.4E-05,14,4,13,44,460,42,864,520,16,8,60.19,7.209E-09,1.027E-08,3.362E-05,82.6,141100000,2926000,142900000,0.002461,47.03,141600000,-47.81
1.7E-05,14,8,13,44,230,42,432,260,32,16,61,8.776E-09,1.123E-08,3.184E-05,82.6,118200000,2254000,119500000,0.0008081,48,107600000,-49.1
2E-05,14,2,52,22,230,21,432,260,8,4,67.83,4.296E-09,5.941E-09,2.68E-05,82.58,321000000,5993000,322200000,0.003494,47.64,247700000,-47.53
1.1E-05,14,4,13,44,460,42,864,520,16,8,60.68,7.863E-09,1.062E-08,3.275E-05,82.57,121100000,2424000,121900000,0.001958,47.5,117200000,-48.43
1.7E-05,12,4,26,44,460,21,432,237,8,4,63.88,5.387E-09,7.708E-09,3.229E-05,82.5,260900000,5266000,263000000,0.002961,47,230100000,-47.3
1.7E-05,14,8,26,44,230,21,216,130,16,8,63.12,7.354E-09,9.08E-09,3.141E-05,82.5,151400000,2763000,152600000,0.000809,48.56,116500000,-49.45
2E-05,12,8,26,44,460,21,432,237,16,8,63.3,6.85E-09,8.694E-09,3.155E-05,82.5,174100000,3264000,176400000,0.001733,48.28,142100000,-49.04
1.4E-05,10,8,13,44,460,21,432,211,16,8,61.41,9.118E-09,1.164E-08,3.769E-05,82.47,130300000,2531000,131300000,0.001233,47.98,115500000,-48.98
2E-05,14,8,13,88,460,42,432,260,16,8,58.84,6.43E-09,9.962E-09,3.513E-05,82.47,206900000,4571000,208500000,0.001863,45.95,226600000,-46.71
1.7E-05,12,8,13,44,230,21,216,119,16,8,61.32,8.428E-09,1.118E-08,3.817E-05,82.44,144500000,2865000,146300000,0.0008076,47.63,125100000,-48.51
1.7E-05,12,8,26,88,460,21,216,119,8,4,62.81,5.408E-09,7.723E-09,3.227E-05,82.44,307300000,5932000,309000000,0.001599,46.75,256200000,-47.26
1.7E-05,10,8,13,44,460,21,432,211,16,8,61.35,8.439E-09,1.118E-08,3.817E-05,82.41,148900000,2976000,150400000,0.001483,47.62,135800000,-48.5
2E-05,12,8,13,22,460,21,864,473,32,16,62.64,1.065E-08,1.277E-08,3.694E-05,82.41,71920000,1342000,72830000,0.001665,48.8,56850000,-49.78
1.7E-05,14,8,13,88,460,42,432,260,16,8,59.23,6.766E-09,1.008E-08,3.437E-05,82.4,187700000,4005000,189600000,0.001596,46.36,199600000,-47.23
8E-06,14,2,52,44,460,21,432,260,4,2,66.96,4.674E-09,6.203E-09,2.676E-05,82.39,278700000,5110000,282500000,0.002937,47.88,213800000,-48.17
2E-05,10,8,13,44,460,21,432,211,16,8,61.27,7.927E-09,1.086E-08,3.863E-05,82.39,166000000,3399000,167500000,0.001732,47.29,154400000,-48.06
1.1E-05,14,8,13,88,460,42,432,260,16,8,59.8,7.878E-09,1.065E-08,3.27E-05,82.37,142300000,2860000,144200000,0.001055,47.27,141500000,-48.4
1.4E-05,14,8,13,88,460,42,432,260,16,8,59.54,7.222E-09,1.029E-08,3.356E-05,82.36,166300000,3457000,167900000,0.001327,46.79,170800000,-47.79
2E-05,14,2,52,22,460,21,864,520,8,4,67.95,4.307E-09,5.942E-09,2.68E-05,82.36,259300000,4955000,261100000,0.006695,47.64,202600000,-47.52
1.4E-05,14,8,13,44,460,42,864,520,32,16,61.13,9.529E-09,1.174E-08,3.134E-05,82.35,86150000,1650000,87230000,0.001233,48.28,76570000,-49.46
2E-05,14,8,13,44,460,42,864,520,32,16,60.85,8.264E-09,1.087E-08,3.231E-05,82.34,109900000,2190000,111400000,0.001732,47.74,103600000,-48.74
1.1E-05,12,4,13,22,460,21,864,473,16,8,62.62,1.008E-08,1.231E-08,3.719E-05,82.33,79670000,1497000,79740000,0.001882,48.61,64630000,-49.51
1.7E-05,14,8,13,44,460,42,864,520,32,16,61.02,8.809E-09,1.123E-08,3.184E-05,82.33,98510000,1923000,98800000,0.001484,48,90230000,-49.09
2E-05,14,2,52,22,115,21,216,130,8,4,67.71,4.292E-09,5.941E-09,2.68E-05,82.3,403900000,6632000,405100000,0.001894,47.65,274600000,-47.56
1.1E-05,14,2,26,44,230,21,216,130,4,2,63.95,4.784E-09,7.384E-09,3.288E-05,82.29,319100000,6742000,319800000,0.00214,46.07,272200000,-46.06
8E-06,10,2,26,22,230,11,216,106,4,2,68.96,7.117E-09,9.144E-09,3.742E-05,82.24,200200000,3837000,200300000,0.00147,47.88,151600000,-47.81
8E-06,12,8,13,88,460,21,216,119,8,4,60.29,8.542E-09,1.126E-08,3.808E-05,82.22,139800000,2820000,141700000,0.0007791,47.42,127500000,-48.52
