Point,Corner,L_Mn_drive,L_Mn_tail1,L_Mp_stg1,nf_ibias,nf_Mn_drive,nf_Mn_tail1,nf_Mn_tail2,nf_Mp_stg2,Pass/Fail,Noise_10M,Noise_1M,Noise_DC,Phase Margin,Phase Margin Frequency,3dB Bandwidth,UGB,DC_Power,DC_Gain,Region_Drive_1,Region_Drive_2,Region_Mn_tail1,Region_Mn_tail2,Region_Mp_stg1_1,Region_Mp_stg1_2,Region_Mp_stg2,Region_Mp_Rz,Region_Mn2,Region_Mp3,Region_Mp4,Region_Mn_ibias,Slew Rate Value
1,nom,200e-9,1e-6,200e-9,1,11,8,50,180,near,8.284e-9,12.24e-9,40.2e-6,81.17,160e6,3.013e6,160.3e6,845.3e-6,48.44,2,3,2,2,2,2,2,1,2,2,2,2,131.3e6
2,nom,200e-9,1e-6,250e-9,1,11,8,50,225,near,8.471e-9,12.11e-9,33.11e-6,76.34,152.7e6,2.721e6,153.7e6,845.3e-6,49.06,3,3,2,2,2,2,2,1,2,2,2,2,125.4e6
3,nom,200e-9,1e-6,300e-9,1,11,8,50,270,near,8.663e-9,12.08e-9,28.76e-6,71.52,145.9e6,2.457e6,147.6e6,845.4e-6,49.52,3,3,2,2,2,2,2,1,2,2,2,2,122.9e6
4,nom,200e-9,1e-6,350e-9,1,11,8,50,315,near,8.856e-9,12.1e-9,25.95e-6,65.82,137.5e6,2.24e6,139.1e6,845.4e-6,49.89,3,3,2,2,2,2,2,1,2,2,2,2,118.9e6
5,nom,200e-9,1e-6,400e-9,1,11,8,50,360,near,9.043e-9,12.13e-9,24.12e-6,60.11,127.6e6,2.024e6,128e6,845.4e-6,50.23,3,3,2,2,2,2,2,1,2,2,2,2,111.8e6
6,nom,200e-9,1e-6,450e-9,1,11,8,50,404,near,9.235e-9,12.18e-9,22.82e-6,54.54,118.3e6,1.852e6,119.3e6,845.4e-6,50.52,3,3,2,2,2,2,2,1,2,2,2,2,101.4e6
7,nom,200e-9,1.1e-6,200e-9,1,11,8.8,55,180,pass,7.974e-9,12.07e-9,40.31e-6,81.68,172.9e6,3.259e6,175.1e6,921e-6,48.31,2,2,2,2,2,2,2,1,2,2,2,2,143.7e6
8,nom,200e-9,1.1e-6,250e-9,1,11,8.8,55,225,pass,8.145e-9,11.92e-9,33.23e-6,76.69,165.5e6,2.942e6,167e6,921e-6,48.93,2,2,2,2,2,2,2,1,2,2,2,2,138e6
9,nom,200e-9,1.1e-6,300e-9,1,11,8.8,55,270,pass,8.321e-9,11.89e-9,28.87e-6,71.01,156.4e6,2.663e6,156.8e6,921e-6,49.4,2,2,2,2,2,2,2,1,2,2,2,2,135.3e6
10,nom,200e-9,1.1e-6,350e-9,1,11,8.8,55,315,pass,8.497e-9,11.9e-9,26.07e-6,65.35,147.9e6,2.413e6,149.4e6,921e-6,49.78,2,2,2,2,2,2,2,1,2,2,2,2,128.3e6
